host_id_x,neighbourhood,latitude_x,longitude_x,room_type_x,price_x,number_of_reviews_x,reviews_per_month_x,availability_365_x,accommodates,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,review_scores_rating,instant_bookable
1035589.0,XII Monte Verde,41.87414,12.46965,Entire home/apt,65.0,40.0,0.27,133.0,5.0,within a few hours,100.0,0.0,0.0,4.59,0.0
230736.0,I Centro Storico,41.91321,12.45482,Entire home/apt,125.0,125.0,0.88,124.0,3.0,within an hour,100.0,99.0,1.0,4.78,0.0
677400.0,XIV Monte Mario,41.93947,12.42458,Entire home/apt,140.0,10.0,0.13,191.0,2.0,within a few hours,100.0,75.0,0.0,4.9,0.0
231637.0,XII Monte Verde,41.882,12.4673,Entire home/apt,146.0,395.0,3.12,120.0,3.0,within an hour,100.0,100.0,1.0,4.77,0.0
746256.0,I Centro Storico,41.89875,12.46946,Entire home/apt,120.0,193.0,1.35,243.0,4.0,within an hour,100.0,100.0,0.0,4.72,1.0
746256.0,I Centro Storico,41.89875,12.46946,Entire home/apt,113.0,118.0,0.88,300.0,3.0,within an hour,100.0,100.0,0.0,4.63,0.0
247495.0,II Parioli/Nomentano,41.89805,12.51563,Entire home/apt,120.0,102.0,0.65,215.0,6.0,within an hour,100.0,83.0,0.0,4.66,0.0
753741.0,VII San Giovanni/Cinecittà,41.87331,12.51897,Entire home/apt,65.0,1.0,0.01,189.0,6.0,within an hour,90.0,40.0,0.0,0.0,0.0
248295.0,I Centro Storico,41.89585,12.47333,Entire home/apt,167.0,186.0,1.22,138.0,2.0,within an hour,100.0,99.0,1.0,4.55,1.0
753805.0,VII San Giovanni/Cinecittà,41.8845,12.52346,Private room,62.0,20.0,0.18,314.0,2.0,within a day,69.0,13.0,0.0,4.35,0.0
248295.0,I Centro Storico,41.89476,12.47379,Entire home/apt,180.0,220.0,1.51,139.0,2.0,within an hour,100.0,99.0,1.0,4.54,0.0
3504.0,I Centro Storico,41.89515,12.4906,Entire home/apt,85.0,44.0,0.28,169.0,3.0,within a day,100.0,10.0,1.0,4.81,0.0
3504.0,I Centro Storico,41.89709,12.48907,Entire home/apt,100.0,41.0,0.26,140.0,2.0,within a day,100.0,10.0,1.0,4.69,0.0
761827.0,I Centro Storico,41.90286,12.47381,Entire home/apt,370.0,42.0,0.31,237.0,5.0,within an hour,93.0,97.0,0.0,4.21,1.0
259007.0,VII San Giovanni/Cinecittà,41.87568,12.50485,Entire home/apt,106.0,211.0,1.39,315.0,4.0,within an hour,100.0,100.0,0.0,4.68,1.0
761827.0,I Centro Storico,41.88603,12.46828,Entire home/apt,90.0,9.0,0.07,363.0,4.0,within an hour,93.0,97.0,0.0,4.75,0.0
263254.0,XIII Aurelia,41.89723,12.45127,Entire home/apt,209.0,479.0,3.19,196.0,6.0,within an hour,100.0,100.0,1.0,4.95,1.0
768673.0,XII Monte Verde,41.87715,12.38358,Private room,160.0,244.0,1.66,358.0,2.0,within an hour,100.0,100.0,0.0,4.85,0.0
269706.0,I Centro Storico,41.90916,12.4562,Private room,102.0,43.0,0.32,129.0,4.0,within an hour,100.0,99.0,1.0,4.98,0.0
269706.0,I Centro Storico,41.910053,12.457028,Private room,109.0,13.0,0.09,98.0,2.0,within an hour,100.0,99.0,1.0,4.91,0.0
276063.0,I Centro Storico,41.89687,12.47044,Entire home/apt,119.0,55.0,0.38,9.0,3.0,within an hour,100.0,95.0,1.0,4.56,0.0
773808.0,II Parioli/Nomentano,41.89786,12.5146,Private room,138.0,213.0,2.15,93.0,3.0,within an hour,100.0,100.0,1.0,4.62,1.0
276894.0,I Centro Storico,41.88695,12.46911,Entire home/apt,200.0,348.0,3.05,222.0,6.0,within an hour,100.0,100.0,1.0,4.89,1.0
778599.0,I Centro Storico,41.88836,12.50148,Entire home/apt,165.0,609.0,4.16,289.0,5.0,within an hour,100.0,100.0,1.0,4.7,1.0
133372.0,I Centro Storico,41.90728,12.50053,Entire home/apt,403.0,93.0,0.6,228.0,11.0,within a few hours,100.0,84.0,1.0,4.8,0.0
21081.0,I Centro Storico,41.89312,12.51232,Entire home/apt,107.0,16.0,0.14,311.0,4.0,within an hour,100.0,43.0,0.0,4.69,0.0
21081.0,I Centro Storico,41.89415,12.51037,Entire home/apt,107.0,9.0,0.07,311.0,4.0,within an hour,100.0,43.0,0.0,4.75,0.0
290437.0,I Centro Storico,41.89711,12.49997,Entire home/apt,890.0,171.0,1.86,233.0,14.0,within an hour,100.0,100.0,1.0,4.93,0.0
724158.0,I Centro Storico,41.89473,12.47719,Entire home/apt,120.0,101.0,0.76,212.0,6.0,within an hour,100.0,100.0,1.0,4.79,0.0
307669.0,II Parioli/Nomentano,41.93176,12.5224,Entire home/apt,119.0,15.0,0.13,271.0,5.0,within an hour,100.0,100.0,1.0,4.53,1.0
793303.0,I Centro Storico,41.89206,12.47207,Entire home/apt,72.0,456.0,3.3,290.0,3.0,within an hour,96.0,99.0,1.0,4.75,1.0
793303.0,I Centro Storico,41.89198,12.46981,Entire home/apt,71.0,586.0,4.12,277.0,3.0,within an hour,96.0,99.0,1.0,4.74,1.0
316068.0,VII San Giovanni/Cinecittà,41.88396,12.50654,Entire home/apt,141.0,204.0,1.36,304.0,2.0,within an hour,100.0,100.0,1.0,4.56,0.0
818089.0,XV Cassia/Flaminia,41.98842,12.40087,Entire home/apt,80.0,0.0,1.8780000000000001,0.0,2.0,within an hour,98.0,93.0,0.0,4.698,0.0
3504.0,I Centro Storico,41.89683,12.49124,Entire home/apt,140.0,22.0,0.15,333.0,3.0,within a day,100.0,10.0,1.0,4.68,0.0
345563.0,VII San Giovanni/Cinecittà,41.88426,12.53032,Entire home/apt,96.0,77.0,0.51,257.0,2.0,within a day,100.0,41.0,0.0,4.67,0.0
822291.0,VI Roma delle Torri,41.85897,12.60646,Entire home/apt,143.0,20.0,0.83,352.0,4.0,within an hour,100.0,69.0,0.0,4.65,0.0
355604.0,I Centro Storico,41.90548,12.44689,Entire home/apt,92.0,183.0,1.22,280.0,3.0,within an hour,100.0,100.0,1.0,4.81,0.0
358775.0,I Centro Storico,41.90447,12.47536,Entire home/apt,123.0,223.0,1.63,315.0,5.0,within an hour,100.0,94.0,1.0,4.66,0.0
838411.0,I Centro Storico,41.89388,12.51137,Entire home/apt,144.0,251.0,1.75,280.0,6.0,within an hour,100.0,100.0,1.0,4.79,1.0
364763.0,XIV Monte Mario,41.91247681352512,12.442726320927866,Entire home/apt,104.0,26.0,0.17,254.0,4.0,within an hour,98.8,100.0,0.0,4.54,1.0
868477.0,I Centro Storico,41.90963,12.45603,Hotel room,200.0,148.0,1.02,262.0,2.0,within an hour,100.0,97.0,1.0,4.72,0.0
276063.0,I Centro Storico,41.89631,12.47111,Entire home/apt,239.0,5.0,0.04,70.0,3.0,within an hour,100.0,95.0,1.0,5.0,0.0
400717.0,III Monte Sacro,41.98959,12.52154,Entire home/apt,2337.0,2.0,0.62,308.0,14.0,within a few hours,100.0,100.0,0.0,5.0,1.0
871063.0,I Centro Storico,41.90183,12.50397,Entire home/apt,189.0,96.0,0.7,337.0,5.0,within an hour,100.0,100.0,1.0,4.6,0.0
248295.0,I Centro Storico,41.89416,12.47069,Entire home/apt,182.0,227.0,1.56,323.0,2.0,within an hour,100.0,99.0,1.0,4.58,1.0
417964.0,I Centro Storico,41.89733,12.4917,Entire home/apt,120.0,318.0,2.1,105.0,3.0,within a few hours,100.0,100.0,1.0,4.84,0.0
882519.0,I Centro Storico,41.90346,12.50448,Entire home/apt,85.0,684.0,5.01,163.0,4.0,within an hour,100.0,100.0,1.0,4.86,0.0
422925.0,I Centro Storico,41.89228,12.50139,Entire home/apt,190.0,126.0,0.89,262.0,5.0,within an hour,100.0,100.0,0.0,4.58,1.0
114323.0,II Parioli/Nomentano,41.89606,12.51281,Private room,78.0,119.0,1.18,77.0,2.0,within an hour,100.0,91.0,1.0,4.9,0.0
316068.0,I Centro Storico,41.89747,12.46875,Entire home/apt,163.0,138.0,1.03,272.0,4.0,within an hour,100.0,100.0,1.0,4.71,1.0
316068.0,I Centro Storico,41.89765,12.47075,Entire home/apt,173.0,179.0,1.2,293.0,4.0,within an hour,100.0,100.0,1.0,4.53,1.0
435920.0,VII San Giovanni/Cinecittà,41.86278533935547,12.543291091918944,Entire home/apt,86.0,373.0,2.47,221.0,4.0,within a few hours,100.0,99.0,0.0,4.87,0.0
892435.0,I Centro Storico,41.89726,12.47866,Entire home/apt,140.0,315.0,2.17,161.0,3.0,within an hour,100.0,99.0,1.0,4.81,0.0
434488.0,I Centro Storico,41.89149,12.47062,Entire home/apt,495.0,134.0,0.89,191.0,9.0,within a few hours,100.0,83.0,0.0,4.83,0.0
933729.0,VII San Giovanni/Cinecittà,41.8692512512207,12.52786636352539,Entire home/apt,53.0,42.0,0.29,1.0,6.0,within an hour,90.0,70.0,0.0,4.23,0.0
934560.0,I Centro Storico,41.89979,12.47108,Entire home/apt,287.0,106.0,0.8,316.0,6.0,within an hour,100.0,100.0,0.0,4.49,1.0
464811.0,XIII Aurelia,41.89157,12.43774,Entire home/apt,250.0,0.0,1.2120000000000002,130.0,6.0,within an hour,100.0,56.0,0.0,4.7620000000000005,0.0
934560.0,I Centro Storico,41.90137,12.46834,Entire home/apt,202.0,64.0,0.48,318.0,4.0,within an hour,100.0,100.0,0.0,4.51,1.0
470889.0,I Centro Storico,41.89818954467773,12.503888130187988,Hotel room,89.0,88.0,0.59,120.0,2.0,within an hour,100.0,100.0,0.0,4.19,1.0
615820.0,VII San Giovanni/Cinecittà,41.87727,12.51527,Entire home/apt,155.0,265.0,1.86,221.0,4.0,within an hour,100.0,99.0,1.0,4.53,1.0
